Population_Growth_Rate_(percentage),Real_GDP_per_Capita_USD,Median_Age,Total_Fertility_Rate,Expected_Years_of_Schooling_(years),Youth_Unemployment_Rate_percent,Country,Real_GDP_per_Capita_USD_original,Cluster
2.846,7.313886831633462,19.5,4.53,10.79014324,20.2,Afghanistan,1500.0,1
-0.711,9.581972891547895,34.3,1.55,14.51014996,27.8,Albania,14500.0,3
1.442,9.305741456739435,28.9,2.47,15.4951601,31.9,Algeria,11000.0,2
-1.599,9.32375833901174,27.2,2.13,13.33577728,16.5,American Samoa,11200.0,0
1.39,10.542732775946709,46.2,1.46,14.54279041,36.9,Andorra,37900.0,3
3.064,8.682877107057168,15.9,5.76,12.1676,18.5,Angola,5900.0,1
1.568,9.409273194575334,35.7,1.72,13.33577728,16.5,Anguilla,12200.0,0
0.5,9.857495968685136,32.7,1.94,15.50299899,16.5,Antigua and Barbuda,19100.0,0
0.349,9.975854724662028,32.4,2.17,18.83120918,29.9,Argentina,21500.0,3
2.789,9.561067663645012,36.6,1.65,14.3838501,36.1,Armenia,14200.0,2
0.131,10.568775236216993,39.9,1.82,13.33577728,16.5,Aruba,38900.0,3
0.985,10.815790343132422,37.5,1.73,20.65477943,10.8,Australia,49800.0,3
-0.124,10.898607948952096,44.5,1.51,16.28428078,11.4,Austria,54100.0,3
-0.26,9.575052927597383,32.6,1.86,12.90977955,16.5,Azerbaijan,14400.0,0
0.463,10.315630315397533,32.8,1.97,11.89137971,30.8,Bahamas,30200.0,2
2.311,10.807725945886109,32.9,1.66,15.92718983,9.9,Bahrain,49400.0,0
1.214,8.682877107057168,27.9,2.08,12.31016827,14.7,Bangladesh,5900.0,0
0.028,9.53249633228804,39.5,1.7,16.6280018,30.6,Barbados,13800.0,3
-0.653,9.893487720457795,40.9,1.52,13.71881008,11.3,Belarus,19800.0,3
0.253,10.853232402669228,41.6,1.77,18.99603081,19.6,Belgium,51700.0,3
1.455,9.082620630373812,23.9,2.59,11.98379993,19.3,Belize,8800.0,0
2.507,8.101980731853192,17.0,5.39,10.4464798,3.9,Benin,3300.0,1
-0.08,11.293537353157436,43.6,1.89,13.33577728,29.3,Bermuda,80300.0,3
0.692,9.296609807128359,29.1,1.77,13.15274184,18.8,Bhutan,10900.0,0
1.383,8.999742789830492,25.3,2.26,15.61065006,17.4,"Bolivia, Plurinational State of",8100.0,0
-0.59,9.661479683575521,43.3,1.37,13.16394043,32.9,Bosnia and Herzegovina,15700.0,3
1.638,9.60245002503719,25.7,2.37,11.42568016,41.2,Botswana,14800.0,2
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,Bouvet Island,13800.0,0
0.411,9.588845298501564,33.2,1.75,15.7927103,31.9,Brazil,14600.0,2
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,British Indian Ocean Territory,13800.0,0
0.837,11.003781759319981,31.1,1.74,13.69861984,23.4,Brunei Darussalam,60100.0,0
-0.517,10.102379394048045,43.7,1.51,15.3166399,14.2,Bulgaria,24400.0,3
2.26,7.696667081526462,17.9,4.14,8.733340263,7.7,Burkina Faso,2200.0,1
2.71,6.55250788703459,17.7,4.96,9.829423879,3.4,Burundi,700.0,1
0.491,8.716207971151853,26.8,2.11,11.36709717,34.3,Cabo Verde,6100.0,2
1.253,8.38958706681109,26.4,2.2,11.19789219,1.8,Cambodia,4400.0,0
2.643,8.216358332386156,18.5,4.5,10.79187965,6.6,Cameroon,3700.0,1
1.218,10.776891660007811,41.8,1.57,15.88825989,14.0,Canada,47900.0,3
1.966,9.53249633228804,40.5,1.82,13.33577728,13.8,Cayman Islands,13800.0,0
