ISO3,"Adolescent_Birth_Rate_(births_per_1,000_women_ages_15-19)",Expected_Years_of_Schooling_(years),HDI_Rank,Human_Development_Index_(value),Inequality-adjusted_Human_Development_Index_(value),Life_Expectancy_at_Birth_(years)
AFG,64.068,10.79014324,181.0,0.496,0.321,66.035
AGO,140.84,12.1676,148.0,0.616,0.36,64.617
ALB,12.789,14.51014996,71.0,0.81,0.705,79.602
AND,3.48,14.54279041,32.0,0.913,0.837,84.041
ARE,3.103,15.60159016,15.0,0.94,0.866,82.909
ARG,26.414,18.83120918,47.0,0.865,0.761,77.395
ARM,13.445,14.3838501,69.0,0.811,0.743,75.683
ATG,32.932,15.50299899,53.0,0.851,,77.598
AUS,6.715,20.65477943,7.0,0.958,0.873,83.923
AUT,3.836,16.28428078,22.0,0.93,0.861,81.956
AZE,34.767,12.90977955,81.0,0.789,0.735,74.429
BDI,53.364,9.829423879,187.0,0.439,0.286,63.651
BEL,3.67,18.99603081,10.0,0.951,0.891,82.115
BEN,77.844,10.4464798,173.0,0.515,0.316,60.774
BFA,87.082,8.733340263,186.0,0.459,0.273,61.092
BGD,73.179,12.31016827,130.0,0.685,0.482,74.672
BGR,39.098,15.3166399,55.0,0.845,0.748,75.636
BHR,7.535,15.92718983,38.0,0.899,,81.284
BHS,24.564,11.89137971,66.0,0.82,0.67,74.552
BIH,11.217,13.16394043,74.0,0.804,0.689,77.85
BLR,8.595,13.71881008,65.0,0.824,0.771,74.434
BLZ,55.232,11.98379993,115.0,0.721,,73.566
BOL,64.848,15.61065006,108.0,0.733,0.578,68.581
BRA,42.686,15.7927103,84.0,0.786,0.594,75.848
BRB,45.332,16.6280018,69.0,0.811,0.62,76.178
BRN,8.518,13.69861984,60.0,0.837,0.756,75.327
BTN,9.364,13.15274184,125.0,0.698,0.478,72.975
BWA,53.805,11.42568016,111.0,0.731,0.509,69.163
CAF,163.093,7.435767778,191.0,0.414,0.253,57.408
CAN,4.805,15.88825989,16.0,0.939,0.867,82.63
CHE,1.483,16.66753006,2.0,0.97,0.894,83.954
CHL,6.542,16.91242027,45.0,0.878,0.723,81.167
CHN,5.227,15.4787495,78.0,0.797,0.67,77.953
CIV,92.085,11.41112995,157.0,0.582,0.35,61.944
CMR,106.661,10.79187965,155.0,0.588,0.361,63.7
COD,106.884,10.91147386,171.0,0.522,0.341,61.895
COG,109.88,12.68194711,138.0,0.649,0.426,65.772
COL,59.473,14.28641033,83.0,0.788,0.593,77.725
COM,55.233,13.29446063,152.0,0.603,0.356,66.777
CPV,38.755,11.36709717,135.0,0.668,0.478,76.059
CRI,26.251,16.34963687,62.0,0.833,0.678,80.799
CUB,48.674,13.87884045,97.0,0.762,,78.085
CYP,6.981,16.21559906,32.0,0.913,0.841,81.648
CZE,5.979,16.7935009,29.0,0.915,0.867,79.834
DEU,5.473,17.30921936,5.0,0.959,0.89,81.378
DJI,18.972,6.207350016,175.0,0.513,0.341,65.987
