ISO3,"Natural_Change,_Births_minus_Deaths_(thousands)","Rate_of_Natural_Change_(per_1,000_population)",Population_Growth_Rate_(percentage),Net_Number_of_Migrants_(thousands),"Net_Migration_Rate_(per_1,000_population)"
ABW,-0.014,-0.122,0.131,0.147,1.362
AFG,1228.733,29.64,2.846,-48.958,-1.181
AGO,1126.888,30.663,3.064,-0.995,-0.027
AIA,0.034,2.343,1.568,0.2,13.879
ALB,5.375,1.912,-0.711,-25.357,-9.019
AND,0.064,0.783,1.39,1.061,13.122
ARE,94.099,8.842,3.704,300.004,28.19
ARG,154.628,3.396,0.349,4.133,0.091
ARM,7.089,2.408,2.789,75.0,25.481
ASM,0.397,8.367,-1.599,-1.159,-24.389
ATG,0.463,4.955,0.5,0.0,0.0
AUS,120.416,4.553,0.985,140.232,5.302
AUT,-16.169,-1.771,-0.124,4.819,0.528
AZE,57.294,5.553,-0.26,-84.122,-8.153
BDI,368.919,26.949,2.71,1.995,0.146
BEL,-12.105,-1.033,0.253,41.679,3.558
BEN,353.93,25.082,2.507,-0.192,-0.014
BES,0.022,0.733,2.846,0.82,27.426
BFA,545.237,23.679,2.26,-24.957,-1.084
BGD,2630.878,15.343,1.214,-549.918,-3.207
BGR,-40.335,-5.935,-0.517,5.173,0.761
BHR,16.28,10.371,2.311,20.002,12.743
BHS,0.855,2.139,0.463,1.001,2.506
BIH,-18.292,-5.743,-0.59,-0.485,-0.152
BLM,-0.017,-1.539,1.66,0.2,18.042
BLR,-56.537,-6.202,-0.653,-3.034,-0.333
BLZ,5.385,13.1,1.455,0.595,1.447
BMU,-0.052,-0.812,-0.08,0.0,0.0
BOL,172.339,14.075,1.383,-3.008,-0.246
BRA,1107.516,5.245,0.411,-240.059,-1.137
BRB,0.159,0.56,0.028,-0.08,-0.283
BRN,3.837,8.36,0.837,0.0,0.0
BTN,5.153,6.553,0.692,0.291,0.37
BWA,47.097,18.989,1.638,-6.487,-2.615
CAF,190.329,36.939,3.41,-14.682,-2.849
CAN,44.921,1.143,1.218,433.842,11.039
CHE,9.914,1.118,0.62,45.098,5.084
CHL,48.505,2.468,0.566,62.679,3.188
CHN,-2784.296,-1.957,-0.236,-567.724,-0.399
CIV,758.26,24.33,2.452,6.002,0.193
CMR,754.51,26.592,2.643,-4.798,-0.169
COD,3467.832,32.78,3.264,-14.992,-0.142
COG,150.485,24.339,2.418,-0.995,-0.161
